Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC28.1,NC34.2,W1xW3R1,0.1,0.107,6130000,9080000,10900000,1.0703,0.9922,0.5254,0.8396,0.806
NC28.1,NC34.2,W1xW3R2,0.1,0.1442,9900000,4170000,6050000,1.4416,0.9509,1.1351,0.7248,0.784
NC28.1,NC52.3,W1xW6R1,0.1,0.1641,6130000,6550000,8750000,1.6412,0.9288,0.4269,0.806,0.7438
NC28.1,NC52.3,W1xW6R2,0.1,0.1746,9900000,7330000,8300000,1.7462,0.9171,0.6831,0.963,0.9141
NC28.1,NC52.3,W1xW6R3,0.1,0.1263,8230000,8120000,8600000,1.2626,0.9708,0.7579,0.9726,0.9455
NC28.1,NC52.3,W1xW6R4,0.1,0.1708,7480000,7550000,7750000,1.7083,0.9213,0.565,1.0574,0.9733
NC28.1,NC60.1,W1xW9R1,0.1,0.1254,6130000,7000000,10900000,1.2538,0.9718,0.4485,0.6608,0.6342
NC28.1,NC60.1,W1xW9R2,0.1,0.133,9900000,9700000,10650000,1.3299,0.9633,0.699,0.9455,0.9127
NC28.1,NC60.1,W1xW9R3,0.1,0.1366,7240000,8690000,8750000,1.3657,0.9594,0.6059,1.0352,0.9766
NC28.1,NC60.1,W1xW9R4,0.1,0.1792,7240000,8690000,8250000,1.7925,0.9119,0.4896,1.155,1.0358
NC105.1,NC63.2,W24xW11R1,0.1,0.1869,8950000,5680000,5400000,1.8687,0.9035,0.8869,1.1642,1.1124
NC105.1,NC63.2,W24xW11R2,0.1,0.2217,9400000,4450000,6400000,2.2166,0.8648,0.6626,0.804,0.7727
NC105.1,NC63.2,W24xW11R3,0.1,0.1677,8580000,3940000,3850000,1.6769,0.9248,1.329,1.1066,1.1439
NC105.1,NC63.2,W24xW11R4,0.1,0.1255,8780000,8550000,9400000,1.2552,0.9716,0.7441,0.9361,0.912
NC105.1,NC63.2,W24xW11R5,0.1,0.1579,11500000,4210000,6250000,1.5795,0.9356,1.1649,0.72,0.7902
NC105.1,NC69.1,W24xW13R1,0.1,0.2598,12200000,7390000,7150000,2.5982,0.8224,0.6567,1.2567,1.1008
NC105.1,NC69.1,W24xW13R2,0.1,0.2353,12200000,7390000,8100000,2.3529,0.8497,0.6401,1.0738,0.9717
NC105.1,NC69.1,W24xW13R3,0.1,0.2566,8950000,7980000,8150000,2.5657,0.826,0.428,1.1853,0.991
NC105.1,NC69.1,W24xW13R4,0.1,0.2864,9400000,3450000,5250000,2.8644,0.7928,0.6251,0.8288,0.7705
NC105.1,NC71.1,W24xW14R1,0.1,0.2611,10800000,2880000,2000000,2.6113,0.821,2.0679,1.754,1.836
NC105.1,NC71.1,W24xW14R2,0.1,0.279,10800000,2880000,5350000,2.7897,0.8011,0.7236,0.6719,0.6864
NC105.1,NC71.1,W24xW14R3,0.1,0.2683,8840000,3720000,4600000,2.6834,0.813,0.7162,0.9948,0.92
NC105.1,NC71.1,W24xW14R4,0.1,0.2126,8840000,3720000,4450000,2.1261,0.8749,0.9343,0.9555,0.951
NC105.1,NC71.1,W24xW14R5,0.1,0.2889,8950000,2950000,5900000,2.8889,0.7901,0.5251,0.6328,0.6017
NC105.1,NC71.1,W24xW14R6,0.1,0.2379,9400000,1650000,5400000,2.3785,0.8468,0.7319,0.3608,0.4491
NC105.1,NC80.1,W24xW18R1,0.1,0.1273,8950000,7530000,7950000,1.2727,0.9697,0.8845,0.9768,0.965
NC105.1,NC80.1,W24xW18R2,0.1,0.1872,9400000,4130000,9400000,1.8725,0.9031,0.5341,0.4865,0.4954
NC105.1,NC28.1,W24xW1R1,0.1,0.156,10600000,6130000,8250000,1.5596,0.9378,0.8238,0.7923,0.7972
NC105.1,NC28.1,W24xW1R2,0.1,0.1366,9400000,9280000,8400000,1.3664,0.9593,0.819,1.1516,1.1062
NC105.1,NC28.1,W24xW1R3,0.1,0.134,10300000,9900000,9500000,1.3401,0.9622,0.8091,1.083,1.0463
NC105.1,NC99.1,W24xW23R1,0.1,0.1404,8950000,8600000,8050000,1.404,0.9551,0.7919,1.1185,1.0727
NC105.1,NC99.1,W24xW23R2,0.1,0.1967,11400000,6890000,7150000,1.967,0.8926,0.8106,1.0796,1.0267
NC105.1,NC99.1,W24xW23R3,0.1,0.1523,11400000,6890000,6350000,1.5226,0.9419,1.1791,1.1519,1.1561
NC105.1,NC99.1,W24xW23R4,0.1,0.1121,11400000,6890000,9250000,1.1214,0.9865,1.099,0.755,0.7936
NC105.1,NC99.1,W24xW23R5,0.1,0.1504,11400000,6890000,8200000,1.5035,0.9441,0.9247,0.89,0.8952
NC105.1,NC99.1,W24xW23R6,0.1,0.1842,11400000,6890000,7400000,1.8421,0.9064,0.8363,1.0272,0.992
