Strain i,Strain j,replicate,p(i),p(i)',Ti(c),Tj(c),TG(ij),r(i),r(j),I(i),I(j),IG(ij)
NC63.2,NC52.3,W11xW6R4,0.9,0.9036,4210000,8750000,6750000,1.004,0.9641,0.6212,1.3446,0.691
NC63.2,NC60.1,W11xW9R1,0.9,0.8963,8550000,7390000,10100000,0.9959,1.0373,0.8501,0.7053,0.835
NC63.2,NC60.1,W11xW9R2,0.9,0.8687,4210000,9530000,6250000,0.9652,1.3128,0.6979,1.1615,0.7587
NC28.1,NC63.2,W1xW11R1,0.9,0.883,9290000,8125000,9950000,0.9887,1.1021,0.9516,0.6979,0.922
NC28.1,NC63.2,W1xW11R10,0.9,0.8672,8550000,8551000,9700000,0.9636,1.3278,0.9148,0.6639,0.8815
NC28.1,NC63.2,W1xW11R11,0.9,0.8892,9600000,4210000,8350000,0.988,1.1077,1.1636,0.4552,1.0851
NC28.1,NC63.2,W1xW11R12,0.9,0.867,6160000,7040000,6840000,0.9633,1.33,0.9349,0.7739,0.9135
NC28.1,NC63.2,W1xW11R13,0.9,0.869,6890000,7580000,7670000,0.9656,1.31,0.9304,0.7544,0.9073
NC28.1,NC63.2,W1xW11R14,0.9,0.879,5540000,5920000,6220000,0.9767,1.21,0.912,0.7866,0.8968
NC28.1,NC63.2,W1xW11R15,0.9,0.879,6010000,6500000,6660000,0.9767,1.21,0.924,0.8066,0.9098
NC28.1,NC63.2,W1xW11R16,0.9,0.872,7240000,7660000,8116667,0.9689,1.28,0.9206,0.7373,0.8972
NC28.1,NC63.2,W1xW11R17,0.9,0.862,6650000,7500000,7436667,0.9578,1.38,0.9336,0.7308,0.9056
NC28.1,NC63.2,W1xW11R18,0.9,0.857,7910000,8430000,8690000,0.9522,1.43,0.9559,0.6784,0.9162
NC28.1,NC63.2,W1xW11R2,0.9,0.872,9290000,8125000,10700000,0.9692,1.277,0.8961,0.5932,0.8573
NC28.1,NC63.2,W1xW11R3,0.9,0.873,9680000,8941667,10400000,0.9784,1.1943,0.9596,0.677,0.9237
NC28.1,NC63.2,W1xW11R4,0.9,0.847,9680000,8941667,10800000,0.9421,1.5213,0.9524,0.5411,0.8895
NC28.1,NC63.2,W1xW11R5,0.9,0.855,5320000,2980000,5000000,0.9621,1.3415,1.12,0.411,1.0172
NC28.1,NC63.2,W1xW11R6,0.9,0.874,5320000,2980000,6650000,0.9738,1.2361,0.8238,0.3557,0.7648
NC28.1,NC63.2,W1xW11R7,0.9,0.8797,6125000,1150000,6150000,0.9775,1.2029,1.0189,0.1555,0.915
NC28.1,NC63.2,W1xW11R8,0.9,0.8761,9900000,4925000,10200000,0.9735,1.2386,0.997,0.3898,0.9218
NC28.1,NC63.2,W1xW11R9,0.9,0.9213,12200000,3943750,12000000,1.0236,0.7873,0.9932,0.4174,0.9479
NC28.1,NC69.1,W1xW13R1,0.9,0.98,6130000,8300000,7650000,1.0889,0.2,0.7359,5.4248,0.8297
NC28.1,NC69.1,W1xW13R2,0.9,0.9635,9900000,6900000,9600000,1.0705,0.3655,0.9633,1.9666,1
NC28.1,NC71.1,W1xW14R1,0.9,0.9674,6130000,2580000,7700000,1.0749,0.3262,0.7407,1.0272,0.75
NC28.1,NC71.1,W1xW14R2,0.9,0.9614,9900000,6100000,10600000,1.0682,0.3858,0.8743,1.4917,0.8981
NC28.1,NC80.1,W1xW18R1,0.9,0.9093,6130000,1900000,6750000,1.0103,0.9072,0.8989,0.3103,0.8455
NC28.1,NC80.1,W1xW18R2,0.9,0.9228,9900000,7250000,.,1.0254,0.7716,.,.,.
NC28.1,NC99.1,W1xW23R1,0.9,0.8777,6130000,8450000,6050000,0.9752,1.2232,1.039,1.1418,1.0516
NC28.1,NC99.1,W1xW23R2,0.9,0.9127,6130000,8450000,11000000,1.0141,0.8731,0.5495,0.8798,0.5784
NC28.1,NC34.2,W1xW3R1,0.9,0.896,6130000,9080000,5550000,0.9956,1.0398,1.1094,1.5735,1.1577
NC28.1,NC34.2,W1xW3R2,0.9,0.865,9900000,4170000,12000000,0.9611,1.3503,0.8584,0.2574,0.7773
NC28.1,NC52.3,W1xW6R1,0.9,0.9297,6130000,6550000,5250000,1.033,0.7034,1.1304,1.7738,1.1756
NC28.1,NC52.3,W1xW6R2,0.9,0.9096,9900000,7330000,10100000,1.0107,0.9036,0.9698,0.8032,0.9548
NC28.1,NC52.3,W1xW6R3,0.9,0.9212,8230000,8120000,11000000,1.0236,0.7879,0.731,0.9369,0.7472
NC28.1,NC52.3,W1xW6R4,0.9,0.9521,7480000,7550000,6650000,1.0579,0.4792,1.0633,2.3694,1.1259
NC28.1,NC60.1,W1xW9R1,0.9,0.8512,6130000,7000000,5550000,0.9457,1.4883,1.1679,0.8475,1.1202
NC28.1,NC60.1,W1xW9R2,0.9,0.8599,9900000,9700000,11600000,0.9554,1.401,0.8932,0.5969,0.8517
NC28.1,NC60.1,W1xW9R3,0.9,0.8679,7240000,8690000,9100000,0.9644,1.3205,0.825,0.7231,0.8115
NC28.1,NC60.1,W1xW9R4,0.9,0.8857,7240000,8690000,8000000,0.9842,1.1426,0.9196,0.9507,0.9231
NC105.1,NC63.2,W24xW11R1,0.9,0.9111,8950000,5680000,9450000,1.0123,0.8889,0.9355,0.6762,0.9125
NC105.1,NC63.2,W24xW11R2,0.9,0.9312,9400000,4450000,10100000,1.0346,0.6883,0.8995,0.6402,0.8817
NC105.1,NC63.2,W24xW11R3,0.9,.,8580000,3940000,11250000,.,.,.,.,0.7214
NC105.1,NC63.2,W24xW11R4,0.9,0.8485,8780000,8550000,10900000,0.9428,1.5145,0.8543,0.5179,0.8034
NC105.1,NC63.2,W24xW11R5,0.9,0.9118,11500000,4210000,10200000,1.0131,0.8821,1.1129,0.4679,1.056
NC105.1,NC69.1,W24xW13R1,0.9,0.9517,12200000,7390000,12300000,1.0574,0.4834,0.938,1.2429,0.9528
NC105.1,NC69.1,W24xW13R2,0.9,0.9604,12200000,7390000,9000000,1.0672,0.3955,1.2702,2.0759,1.3021
NC105.1,NC69.1,W24xW13R3,0.9,0.9636,8950000,7980000,14150000,1.0707,0.3636,0.5907,1.5509,0.6257
NC105.1,NC69.1,W24xW13R4,0.9,0.9838,9400000,3450000,10750000,1.0931,0.1619,0.7999,1.9817,0.8191
NC105.1,NC71.1,W24xW14R1,0.9,0.9767,10800000,2880000,9650000,1.0852,0.2328,1.0313,1.282,1.0371
NC105.1,NC71.1,W24xW14R2,0.9,0.9795,10800000,2880000,8800000,1.0883,0.2051,1.1277,1.5955,1.1373
NC105.1,NC71.1,W24xW14R3,0.9,0.9497,8840000,3720000,9200000,1.0553,0.5025,0.9105,0.8047,0.9052
NC105.1,NC71.1,W24xW14R4,0.9,0.9583,8840000,3720000,9000000,1.0648,0.4171,0.9225,0.991,0.9253
NC105.1,NC71.1,W24xW14R5,0.9,0.9657,8950000,2950000,10550000,1.073,0.3434,0.7907,0.8142,0.7915
NC105.1,NC71.1,W24xW14R6,0.9,0.9676,9400000,1650000,9900000,1.0751,0.3239,0.8831,0.5146,0.8712
NC105.1,NC80.1,W24xW18R1,0.9,0.8758,8950000,7530000,9350000,0.9731,1.2424,0.9837,0.6482,0.942
NC105.1,NC80.1,W24xW18R2,0.9,0.9119,9400000,4130000,9550000,1.0133,0.8806,0.9714,0.4911,0.9291
NC105.1,NC28.1,W24xW1R1,0.9,0.8818,10600000,6130000,9750000,0.9797,1.1825,1.1097,0.5317,1.0413
NC105.1,NC28.1,W24xW1R2,0.9,0.914,9400000,9280000,9550000,1.0155,0.8603,0.9693,1.1295,0.983
NC105.1,NC28.1,W24xW1R3,0.9,0.868,10300000,9900000,9150000,0.9645,1.3198,1.1672,0.8198,1.1213
NC105.1,NC99.1,W24xW23R1,0.9,0.9162,8950000,8600000,9500000,1.018,0.8384,0.9255,1.0798,0.9384
NC105.1,NC99.1,W24xW23R2,0.9,0.9197,11400000,6890000,11350000,1.0219,0.8033,0.9829,0.7557,0.9647
NC105.1,NC99.1,W24xW23R3,0.9,0.9167,11400000,6890000,15250000,1.0185,0.8333,0.7339,0.5422,0.718
NC105.1,NC99.1,W24xW23R4,0.9,0.8868,11400000,6890000,10400000,0.9854,1.1317,1.1124,0.5854,1.0528
NC105.1,NC99.1,W24xW23R5,0.9,0.9223,11400000,6890000,10150000,1.0248,0.777,1.096,0.8736,1.0787
NC105.1,NC99.1,W24xW23R6,0.9,0.9342,11400000,6890000,13500000,1.038,0.6579,0.8135,0.7758,0.811
NC105.1,NC99.1,W24xW23R7,0.9,0.9212,11400000,6890000,12550000,1.0236,0.7879,0.8875,0.6968,0.8724
NC105.1,NC34.2,W24xW3R1,0.9,0.9023,10833333,5116667,13000000,1.0026,0.9768,0.8312,0.4029,0.7894
NC105.1,NC34.2,W24xW3R10,0.9,0.864,9940000,6310000,9990000,0.96,1.36,1.0365,0.4644,0.9587
NC105.1,NC34.2,W24xW3R11,0.9,0.878,9470000,6870000,9860000,0.9756,1.22,0.9845,0.5711,0.9341
NC105.1,NC34.2,W24xW3R12,0.9,0.888,10000000,6910000,9890000,0.9867,1.12,1.0248,0.6238,0.9799
NC105.1,NC34.2,W24xW3R13,0.9,0.884,9300000,6320000,9590000,0.9822,1.16,0.9873,0.5681,0.9387
NC105.1,NC34.2,W24xW3R14,0.9,0.859,9780000,5950000,9750000,0.9544,1.4102,1.051,0.4328,0.9638
NC105.1,NC34.2,W24xW3R15,0.9,0.8582,9890000,5050000,9175000,0.9535,1.4184,1.1305,0.388,1.0252
NC105.1,NC34.2,W24xW3R2,0.9,0.8933,10833333,5116667,11000000,0.9926,1.0667,0.9922,0.4361,0.9329
NC105.1,NC34.2,W24xW3R3,0.9,0.8826,8843750,6792857,10300000,0.9807,1.1741,0.8756,0.5617,0.8387
NC105.1,NC34.2,W24xW3R4,0.9,0.8782,8843750,6792857,12000000,0.9757,1.2183,0.7553,0.4647,0.7199
NC105.1,NC34.2,W24xW3R5,0.9,0.8864,9516667,6700000,9650000,0.9849,1.1357,1.0013,0.6114,0.957
NC105.1,NC34.2,W24xW3R6,0.9,0.8694,9516667,6700000,9300000,0.966,1.3061,1.0593,0.5516,0.993
NC105.1,NC34.2,W24xW3R7,0.9,0.8515,10450000,6100000,8400000,0.9461,1.4848,1.3149,0.4891,1.1923
NC105.1,NC34.2,W24xW3R8,0.9,0.8775,9400000,3475000,9500000,0.975,1.2247,1.0148,0.2987,0.9271
NC105.1,NC34.2,W24xW3R9,0.9,0.879,10100000,6490000,10000000,0.9767,1.21,1.0341,0.5364,0.9739
NC105.1,NC52.3,W24xW6R1,0.9,0.923,8900000,8740000,7850000,1.0256,0.77,1.1055,1.4459,1.1317
NC105.1,NC52.3,W24xW6R10,0.9,0.924,9000000,7550000,8100000,1.0266,0.7604,1.0823,1.2258,1.0932
NC105.1,NC52.3,W24xW6R2,0.9,0.9221,8900000,8740000,7600000,1.0246,0.7787,1.1429,1.4768,1.1689
NC105.1,NC52.3,W24xW6R3,0.9,0.901,8580000,8730000,10300000,1.0011,0.99,0.8321,0.8561,0.8345
NC105.1,NC52.3,W24xW6R4,0.9,0.9352,8580000,8730000,8600000,1.0391,0.6484,0.9602,1.5655,0.9994
NC105.1,NC52.3,W24xW6R5,0.9,0.9193,9520000,7740000,7950000,1.0214,0.8073,1.1724,1.206,1.1751
NC105.1,NC52.3,W24xW6R6,0.9,0.9243,9520000,7740000,12150000,1.027,0.7568,0.7629,0.8417,0.7689
NC105.1,NC52.3,W24xW6R7,0.9,0.9394,8950000,8990000,9000000,1.0438,0.6061,0.9527,1.6482,0.9949
NC105.1,NC52.3,W24xW6R8,0.9,0.9064,8400000,8360000,9600000,1.0071,0.9359,0.8688,0.9305,0.8746
NC105.1,NC52.3,W24xW6R9,0.9,0.8889,8130000,8120000,7750000,0.9877,1.1111,1.0621,0.943,1.0489
NC105.1,NC60.1,W24xW9R1,0.9,0.8869,8950000,11000000,9800000,0.9854,1.1313,0.9268,0.9922,0.9342
NC105.1,NC60.1,W24xW9R2,0.9,0.9211,9400000,9480000,8350000,1.0234,0.7895,1.1,1.4381,1.1267
NC34.2,NC69.1,W3xW13R1,0.9,0.9364,7410000,7390000,8300000,1.0405,0.6359,0.8581,1.4002,0.8925
NC34.2,NC69.1,W3xW13R2,0.9,0.9615,7410000,7390000,9750000,1.0683,0.3854,0.7114,1.9667,0.7598
NC34.2,NC71.1,W3xW14R1,0.9,0.9421,5120000,2880000,5100000,1.0468,0.5787,0.959,0.9759,0.96
NC34.2,NC71.1,W3xW14R2,0.9,0.9538,5120000,2880000,5800000,1.0598,0.4615,0.8329,1.0759,0.8441
NC34.2,NC71.1,W3xW14R3,0.9,0.9204,6790000,3720000,9450000,1.0227,0.7959,0.7026,0.4946,0.686
NC34.2,NC71.1,W3xW14R4,0.9,0.94,6790000,3720000,6600000,1.0444,0.6002,0.985,0.9391,0.9823
NC34.2,NC80.1,W3xW18R1,0.9,0.851,6790000,6830000,5900000,0.9456,1.4898,1.2171,0.777,1.1515
NC34.2,NC80.1,W3xW18R2,0.9,0.8832,6790000,6830000,6300000,0.9813,1.1682,1.0983,0.9281,1.0784
NC52.3,NC69.1,W6xW13R1,0.9,0.9268,8360000,9570000,7950000,1.0297,0.7325,1.0212,1.6435,1.0668
NC52.3,NC69.1,W6xW13R2,0.9,0.9535,8120000,6580000,9900000,1.0595,0.4646,0.7742,1.4304,0.8046
NC52.3,NC69.1,W6xW13R3,0.9,0.9573,7550000,5600000,8700000,1.0637,0.4271,0.8159,1.5071,0.8454
NC52.3,NC71.1,W6xW14R1,0.9,0.9837,8360000,5100000,5500000,1.093,0.1628,1.3906,5.6969,1.4607
NC52.3,NC71.1,W6xW14R2,0.9,0.9636,8120000,4000000,7900000,1.0707,0.3636,0.96,1.3924,0.9757
NC52.3,NC71.1,W6xW14R3,0.9,0.9552,7550000,3800000,9150000,1.0613,0.4479,0.7774,0.9272,0.7842
NC52.3,NC80.1,W6xW18R1,0.9,0.8911,8360000,6280000,7600000,0.9902,1.0885,1.1109,0.7591,1.0726
NC52.3,NC80.1,W6xW18R2,0.9,0.8939,8120000,6580000,9000000,0.9933,1.0606,0.9083,0.6893,0.8851
NC52.3,NC80.1,W6xW18R3,0.9,0.9042,7550000,4850000,9450000,1.0046,0.9583,0.7953,0.5355,0.7704
NC52.3,NC99.1,W6xW23R1,0.9,0.8762,8740000,8540000,7950000,0.9735,1.2385,1.1293,0.8674,1.0969
NC52.3,NC99.1,W6xW23R2,0.9,0.8692,8740000,8540000,9400000,0.9658,1.3079,0.9627,0.6946,0.9277
NC52.3,NC99.1,W6xW23R3,0.9,0.8612,8730000,7900000,8950000,0.9569,1.388,1.0194,0.6359,0.9661
NC52.3,NC99.1,W6xW23R4,0.9,0.8426,8730000,7900000,8900000,0.9362,1.5741,1.0477,0.5639,0.9716
NC52.3,NC99.1,W6xW23R5,0.9,0.8829,7740000,3110000,8800000,0.9811,1.1705,0.8965,0.3019,0.8269
NC52.3,NC99.1,W6xW23R6,0.9,0.8632,7740000,3110000,10200000,0.9591,1.3679,0.7912,0.2229,0.7134
NC52.3,NC99.1,W6xW23R7,0.9,0.9162,8120000,6650000,9900000,1.018,0.8384,0.8057,0.8012,0.8054
NC52.3,NC99.1,W6xW23R8,0.9,0.9167,7550000,6530000,7950000,1.0185,0.8333,0.9324,0.9857,0.9369
NC52.3,NC34.2,W6xW3R1,0.9,0.8911,8360000,5670000,9050000,0.9902,1.0885,0.9329,0.5756,0.894
NC52.3,NC34.2,W6xW3R2,0.9,0.8929,8120000,4250000,9350000,0.9921,1.0707,0.8753,0.4245,0.8271
NC52.3,NC34.2,W6xW3R3,0.9,0.8604,7550000,4480000,7900000,0.956,1.3958,0.9997,0.4063,0.9168
NC52.3,NC60.1,W6xW9R1,0.9,0.8616,8360000,11100000,8200000,0.9574,1.3835,1.0649,0.9784,1.0529
NC52.3,NC60.1,W6xW9R2,0.9,0.8808,8120000,6700000,9700000,0.9787,1.1919,0.8554,0.5795,0.8225
NC52.3,NC60.1,W6xW9R3,0.9,0.8979,7550000,7100000,9650000,0.9977,1.0208,0.7842,0.7207,0.7777
NC60.1,NC71.1,W9xW14R1,0.9,0.9718,7570000,2880000,9200000,1.0797,0.2823,0.7621,1.1091,0.7718
NC60.1,NC71.1,W9xW14R2,0.9,0.9723,7570000,2880000,8700000,1.0803,0.2769,0.8054,1.1954,0.8162
NC63.2,NC69.1,W11xW13R1,0.95,0.9744,3940000,6930000,3950000,1.0257,0.5112,0.9725,3.4317,1.0353
NC63.2,NC69.1,W11xW13R2,0.95,0.9865,8550000,7680000,8800000,1.0384,0.2697,0.9356,3.2358,0.9666
NC63.2,NC69.1,W11xW13R3,0.95,0.9846,4210000,4750000,4750000,1.0364,0.3077,0.8552,3.25,0.892
NC63.2,NC71.1,W11xW14R1,0.95,0.973,8550000,5230000,8800000,1.0242,0.5394,0.9486,1.1018,0.9527
NC63.2,NC71.1,W11xW14R2,0.95,0.9918,4210000,3830000,4750000,1.044,0.1641,0.849,4.9135,0.8823
NC63.2,NC80.1,W11xW18R1,0.95,0.9253,8550000,6600000,8500000,0.974,1.4938,1.0327,0.5198,0.9944
NC63.2,NC80.1,W11xW18R2,0.95,0.921,4210000,8050000,4500000,0.9695,1.5795,0.965,1.1326,0.9782
NC63.2,NC99.1,W11xW23R1,0.95,0.9243,3940000,5680000,3600000,0.973,1.5133,1.1248,1.0426,1.1186
NC63.2,NC99.1,W11xW23R2,0.95,0.9388,8550000,7180000,8100000,0.9882,1.2241,1.0682,0.7242,1.0471
NC63.2,NC99.1,W11xW23R3,0.95,0.9405,4210000,8650000,5100000,0.99,1.1897,0.8338,1.4256,0.869
NC63.2,NC34.2,W11xW3R1,0.95,0.9544,8550000,3380000,10200000,1.0046,0.9129,0.8344,0.363,0.8129
NC63.2,NC34.2,W11xW3R2,0.95,0.9221,4210000,4400000,5700000,0.9706,1.559,0.761,0.4952,0.7403
NC63.2,NC52.3,W11xW6R1,0.95,0.9658,8550000,7320000,8300000,1.0166,0.6846,1.0133,1.2881,1.0227
NC63.2,NC52.3,W11xW6R2,0.95,0.9626,6480000,8120000,7700000,1.0133,0.7475,0.8305,1.4108,0.8522
NC63.2,NC52.3,W11xW6R3,0.95,0.9708,7000000,7550000,7900000,1.0219,0.5833,0.8671,1.6383,0.8896
NC63.2,NC52.3,W11xW6R4,0.95,0.9641,4210000,8750000,6550000,1.0148,0.7179,0.6333,1.8607,0.6774
NC63.2,NC60.1,W11xW9R1,0.95,0.9429,8550000,7390000,8750000,0.9926,1.1411,0.9845,0.7402,0.9705
NC63.2,NC60.1,W11xW9R2,0.95,0.9231,4210000,9530000,4900000,0.9717,1.5385,0.8842,1.2642,0.9135
NC28.1,NC63.2,W1xW11R10,0.95,0.9118,8550000,8551000,9050000,0.9598,1.7635,0.9843,0.5358,0.9448
NC28.1,NC63.2,W1xW11R11,0.95,0.921,9600000,4210000,9550000,0.9695,1.5795,1.0369,0.2791,0.977
NC28.1,NC63.2,W1xW11R12,0.95,0.897,6160000,7040000,6290000,0.9442,2.06,1.0372,0.5433,0.9863
NC28.1,NC63.2,W1xW11R13,0.95,0.9,6890000,7580000,6550000,0.9474,2,1.1103,0.5786,1.0572
NC28.1,NC63.2,W1xW11R14,0.95,0.934,5540000,5920000,5870000,0.9832,1.32,0.9599,0.764,0.947
NC28.1,NC63.2,W1xW11R15,0.95,0.911,6010000,6500000,5950000,0.9589,1.78,1.0533,0.6137,1.0142
NC28.1,NC63.2,W1xW11R16,0.95,0.911,7240000,7660000,7283333,0.9589,1.78,1.0366,0.5909,0.9969
NC28.1,NC63.2,W1xW11R17,0.95,0.92,6650000,7500000,6570000,0.9684,1.6,1.0452,0.7135,1.0186
NC28.1,NC63.2,W1xW11R18,0.95,0.895,7910000,8430000,7560000,0.9421,2.1,1.1106,0.531,1.0497
NC28.1,NC63.2,W1xW11R2,0.95,0.891,9290000,8125000,7850000,0.9388,2.1627,1.2618,0.4748,1.176
NC28.1,NC63.2,W1xW11R4,0.95,0.912,9680000,8941667,9800000,0.9619,1.7241,1.0289,0.5184,0.984
NC28.1,NC63.2,W1xW11R6,0.95,0.905,5320000,2980000,4200000,0.9556,1.844,1.3297,0.3734,1.2388
NC28.1,NC63.2,W1xW11R8,0.95,0.9208,9900000,4925000,.,0.9693,1.5838,.,.,.
NC28.1,NC63.2,W1xW11R9,0.95,0.9509,12200000,3943750,9500000,1.001,0.9816,1.283,0.4229,1.2408
NC28.1,NC69.1,W1xW13R2,0.95,0.9827,9900000,6900000,9800000,1.0345,0.3452,0.9765,2.0398,0.9949
NC28.1,NC71.1,W1xW14R2,0.95,0.9817,9900000,6100000,10200000,1.0334,0.3655,0.9392,1.6363,0.952
NC28.1,NC80.1,W1xW18R2,0.95,0.9421,9900000,7250000,8150000,0.9917,1.1574,1.2249,0.7686,1.1985
NC28.1,NC99.1,W1xW23R2,0.95,0.9431,6130000,8450000,10500000,0.9928,1.1371,0.5881,0.7078,0.5949
NC28.1,NC34.2,W1xW3R1,0.95,0.949,6130000,9080000,6000000,0.999,1.0194,1.0227,1.4846,1.0463
NC28.1,NC34.2,W1xW3R2,0.95,0.9279,9900000,4170000,11300000,0.9768,1.4416,0.897,0.256,0.8508
NC28.1,NC52.3,W1xW6R1,0.95,0.9551,6130000,6550000,5350000,1.0054,0.897,1.1396,1.3648,1.1497
NC28.1,NC52.3,W1xW6R2,0.95,0.931,9900000,7330000,8450000,0.98,1.3807,1.1956,0.6283,1.1564
NC28.1,NC52.3,W1xW6R3,0.95,0.9657,8230000,8120000,10000000,1.0165,0.6869,0.8097,1.1822,0.8225
NC28.1,NC52.3,W1xW6R4,0.95,0.9615,7480000,7550000,6950000,1.0121,0.7708,1.0634,1.4093,1.0768
NC28.1,NC60.1,W1xW9R1,0.95,0.9011,6130000,7000000,6000000,0.9485,1.9776,1.0771,0.5899,1.0289
NC28.1,NC60.1,W1xW9R2,0.95,0.9066,9900000,9700000,10300000,0.9543,1.868,1.0072,0.5041,0.9602
NC28.1,NC60.1,W1xW9R3,0.95,0.9402,7240000,8690000,6900000,0.9897,1.1964,1.0602,1.0527,1.0598
NC28.1,NC60.1,W1xW9R4,0.95,0.9423,7240000,8690000,9000000,0.9919,1.153,0.811,0.8374,0.8125
NC105.1,NC63.2,W24xW11R1,0.95,0.9404,8950000,5680000,8800000,0.9899,1.1919,1.0274,0.5415,0.9985
NC105.1,NC63.2,W24xW11R2,0.95,0.9636,9400000,4450000,9100000,1.0143,0.7287,1.0184,0.671,1.0058
NC105.1,NC63.2,W24xW11R3,0.95,0.8855,8580000,3940000,6800000,0.9321,2.2904,1.3537,0.253,1.2276
NC105.1,NC63.2,W24xW11R4,0.95,0.9253,8780000,8550000,10000000,0.974,1.4938,0.9014,0.5724,0.8769
NC105.1,NC63.2,W24xW11R5,0.95,0.9497,11500000,4210000,9250000,0.9997,1.0051,1.2436,0.4528,1.2038
NC105.1,NC69.1,W24xW13R1,0.95,.,12200000,7390000,13400000,.,.,.,.,0.8925
NC105.1,NC69.1,W24xW13R2,0.95,0.9767,12200000,7390000,.,1.0281,0.4665,.,.,.
NC105.1,NC69.1,W24xW13R3,0.95,0.9788,8950000,7980000,13750000,1.0303,0.4242,0.6318,1.368,0.6474
NC105.1,NC69.1,W24xW13R4,0.95,0.9919,9400000,3450000,8500000,1.0441,0.1619,1.0592,2.5063,1.0709
NC105.1,NC71.1,W24xW14R1,0.95,.,10800000,2880000,10000000,.,.,.,.,1.0404
NC105.1,NC71.1,W24xW14R2,0.95,0.9867,10800000,2880000,.,1.0386,0.2667,.,.,.
NC105.1,NC71.1,W24xW14R4,0.95,0.9715,8840000,3720000,11700000,1.0226,0.5697,0.7388,0.5581,0.7337
NC105.1,NC71.1,W24xW14R6,0.95,0.9838,9400000,1650000,10200000,1.0356,0.3239,0.8899,0.4994,0.8836
NC105.1,NC80.1,W24xW18R2,0.95,0.9453,9400000,4130000,7800000,0.9951,1.0931,1.2111,0.4844,1.1713
NC105.1,NC28.1,W24xW1R1,0.95,0.9358,10600000,6130000,10700000,0.985,1.2844,1.0057,0.446,0.9698
NC105.1,NC28.1,W24xW1R2,0.95,0.9595,9400000,9280000,8750000,1.01,0.8097,1.0636,1.3098,1.0736
NC105.1,NC28.1,W24xW1R3,0.95,0.9259,10300000,9900000,9850000,0.9746,1.4822,1.0729,0.6781,1.0437
NC105.1,NC99.1,W24xW23R1,0.95,0.9545,8950000,8600000,10000000,1.0048,0.9091,0.8907,0.946,0.8933
NC105.1,NC99.1,W24xW23R3,0.95,0.9609,11400000,6890000,10750000,1.0115,0.7819,1.0484,0.8197,1.0395
NC105.1,NC99.1,W24xW23R4,0.95,0.9393,11400000,6890000,9250000,0.9887,1.214,1.2465,0.6136,1.2081
NC105.1,NC99.1,W24xW23R6,0.95,0.9686,11400000,6890000,13500000,1.0196,0.6275,0.8282,0.8133,0.8277
NC105.1,NC99.1,W24xW23R7,0.95,0.9566,11400000,6890000,10900000,1.0069,0.8687,1.0387,0.7277,1.0252
NC105.1,NC34.2,W24xW3R10,0.95,0.901,9940000,6310000,9970000,0.9484,1.98,1.0512,0.3196,0.9788
NC105.1,NC34.2,W24xW3R11,0.95,0.912,9470000,6870000,9650000,0.96,1.76,1.0222,0.4045,0.9679
NC105.1,NC34.2,W24xW3R12,0.95,0.905,10000000,6910000,9660000,0.9526,1.9,1.0867,0.3765,1.0192
NC105.1,NC34.2,W24xW3R13,0.95,0.932,9300000,6320000,9600000,0.9811,1.36,0.9875,0.4841,0.9532
NC105.1,NC34.2,W24xW3R14,0.95,0.93,9780000,5950000,9225000,0.9789,1.4008,1.083,0.4604,1.0394
NC105.1,NC34.2,W24xW3R15,0.95,0.9243,9890000,5050000,9525000,0.973,1.5136,1.0672,0.3503,1.0129
NC105.1,NC34.2,W24xW3R2,0.95,0.9487,10833333,5116667,12500000,0.9987,1.0256,0.8678,0.3991,0.8438
NC105.1,NC34.2,W24xW3R4,0.95,0.9279,8843750,6792857,9100000,0.9768,1.4416,0.995,0.5178,0.9606
NC105.1,NC34.2,W24xW3R6,0.95,0.9367,9516667,6700000,8600000,0.986,1.2653,1.1223,0.6157,1.0902
NC105.1,NC34.2,W24xW3R7,0.95,0.9202,10450000,6100000,8000000,0.9686,1.596,1.3485,0.4778,1.2791
NC105.1,NC34.2,W24xW3R8,0.95,0.9342,9400000,3475000,8900000,0.9834,1.3158,1.074,0.2967,1.0229
NC105.1,NC34.2,W24xW3R9,0.95,0.911,10100000,6490000,10000000,0.9589,1.78,1.0532,0.3646,0.992
NC105.1,NC52.3,W24xW6R1,0.95,.,8900000,8740000,8550000,.,.,.,.,1.04
NC105.1,NC52.3,W24xW6R10,0.95,0.9625,9000000,7550000,9650000,1.0132,0.75,0.9205,1.0432,0.9251
NC105.1,NC52.3,W24xW6R2,0.95,0.9682,8900000,8740000,.,1.0192,0.6352,.,.,.
NC105.1,NC52.3,W24xW6R4,0.95,0.9737,8580000,8730000,9550000,1.0249,0.5268,0.8766,1.7351,0.8992
NC105.1,NC52.3,W24xW6R5,0.95,.,9520000,7740000,10400000,.,.,.,.,0.9068
NC105.1,NC52.3,W24xW6R6,0.95,0.9637,9520000,7740000,.,1.0144,0.7265,.,.,.
NC105.1,NC52.3,W24xW6R7,0.95,0.9768,8950000,8990000,9300000,1.0282,0.4646,0.936,2.0804,0.9626
NC105.1,NC52.3,W24xW6R8,0.95,0.9481,8400000,8360000,7400000,0.998,1.0376,1.1374,1.0887,1.1349
NC105.1,NC52.3,W24xW6R9,0.95,0.9626,8130000,8120000,7650000,1.0133,0.7475,1.0488,1.42,1.0627
NC105.1,NC60.1,W24xW9R1,0.95,0.9404,8950000,11000000,8800000,0.9899,1.1919,1.0274,1.0487,1.0287
